Dimension (d),Samples (n),Testing Accuracy
10,500,0.98
10,1000,0.9633333333333334
10,5000,0.96
10,10000,0.9673333333333334
10,100000,0.9634
50,500,0.9
50,1000,0.91
50,5000,0.8953333333333333
50,10000,0.9306666666666666
50,100000,0.9265666666666666
100,500,0.8866666666666667
100,1000,0.93
100,5000,0.912
100,10000,0.9126666666666666
100,100000,0.9047666666666667
500,500,0.64
500,1000,0.78
500,5000,0.828
500,10000,0.8346666666666667
500,100000,0.8245666666666667
1000,500,0.6533333333333333
1000,1000,0.7
1000,5000,0.796
1000,10000,0.7893333333333333
1000,100000,0.7907666666666666
